314,Aquamarine,Golden Brown,Bored Unshaven Cigarette,Bored,Gold Hoop,Caveman Pelt,Beanie
315,Purple,Pink,Grin,Cyborg,Silver Stud,None,Vietnam Era Helmet
316,Army Green,Noise,Bored,Bored,Silver Hoop,Bone Necklace,Bowler
317,New Punk Blue,Golden Brown,Dumbfounded,Sleepy,None,Striped Tee,Bayc Hat Black
318,Purple,Zombie,Dumbfounded,Sleepy,None,Sleeveless T,None
319,New Punk Blue,Pink,Grin Gold Grill,Bored,None,Stunt Jacket,Party Hat 2
320,Purple,Golden Brown,Small Grin,Scumbag,Silver Stud,Hawaiian,Halo
321,New Punk Blue,Cheetah,Bored,Sleepy,Gold Hoop,Navy Striped Tee,None
322,Purple,Dark Brown,Phoneme  ooo,Bloodshot,None,Tie Dye,Fisherman's Hat
323,Army Green,Golden Brown,Bored Unshaven Cigarette,Zombie,None,Smoking Jacket,Beanie
324,New Punk Blue,Dark Brown,Bored Unshaven Cigarette,Bored,None,None,None
325,Aquamarine,Gray,Bored,Blindfold,None,Sleeveless Logo T,Cowboy Hat
326,New Punk Blue,Gray,Bored,Closed,None,Blue Dress,Horns
327,Yellow,Red,Bored,Wide Eyed,Silver Hoop,None,None
328,Orange,Brown,Dumbfounded,Bored,Silver Stud,Tanktop,Halo
329,Army Green,Golden Brown,Bored,Heart,None,Sailor Shirt,Seaman's Hat
330,New Punk Blue,Black,Phoneme L,Sad,None,Service,None
331,Aquamarine,Brown,Grin,Scumbag,None,Toga,Seaman's Hat
332,Yellow,Cream,Discomfort,3d,None,Tuxedo Tee,None
333,Yellow,Cheetah,Tongue Out,Closed,Gold Stud,None,Baby's Bonnet
334,Yellow,Death Bot,Bored Unshaven,Angry,Cross,Vietnam Jacket,Bayc Hat Red
335,Orange,Dark Brown,Bored,Bloodshot,None,Black Holes T,Bunny Ears
336,Aquamarine,Dmt,Grin,Coins,Silver Hoop,Biker Vest,None
337,New Punk Blue,Brown,Jovial,Scumbag,Cross,Navy Striped Tee,Bowler
338,New Punk Blue,Golden Brown,Phoneme Vuh,3d,Silver Hoop,Black T,Fez
339,Army Green,Dark Brown,Phoneme  ooo,Bored,None,None,Bayc Hat Black
340,Blue,Brown,Bored Unshaven,Sleepy,Diamond Stud,Wool Turtleneck,Fez
