0,0.01
1025,25.149,0.1499
1026,25.149,0.09
1027,25.149
1028,22.6341
1029,25.149
1030,25.149
1031,25.149
1032,25.149
1033,25.149
1034,25.149
1035,25.149
1036,25.149
1037,25.149
1038,25.149,1.64
1039,25.15,6.5
1040,25.149,34.0
1041,25.149,0.475
1042,25.149,34.95
1043,22.6341
1044,25.149,9.123
1045,25.149,1.25
1046,25.149,3.99
1047,25.149,8.38
1048,25.149,4.9
1049,25.149,3.0
1050,25.149,1.69
1051,22.6341,37.7
1052,25.149,2.2
1053,25.149,1.81
1054,25.149,9.0
1055,25.149,5.49
1056,25.149,34.5
1057,25.149,18.74
1058,25.149,46.69
1059,25.149,0.14
1060,25.149,6.9
1061,25.149,8.88
1062,25.149,35.0
1063,25.90347,5.1
1064,25.149,23.0
1065,25.149,1.9
1066,25.149,6.0
1067,25.149,36.0
1068,22.6341,5.0
1069,25.149,2.8
1070,25.149,4.2
1071,25.90347
1072,25.149,22.0
1073,25.149,1.3
1074,25.149,3.39
1075,20.1192,4.8
1076,25.149
1077,25.149
1078,25.149
1079,25.149
1080,25.149,44.985
1081,25.149
1082,25.149,0.45
1083,25.149,75.0
1084,25.149,2.69
1085,25.149,2.3
1086,25.149,27.77
1087,25.149,0.33
1088,25.149,26.69
1089,22.6341
1090,25.149
1091,25.149,3.0
1092,25.149
1093,25.149
1094,22.6341,17.9
1095,25.149,3.0
1096,25.149,0.37
1097,25.149,0.25
1098,25.149,39.9
1099,25.90347,26.0
1100,25.149,10.0
1101,25.149
1102,25.149,2.75
1103,25.149,0.4
1104,25.149,33.95
1105,25.149
1106,20.1192,1.89
1107,25.149
1108,25.149,39.75
1109,25.149,50.0
1110,25.149
1111,25.149,0.95
1112,25.149
1113,25.149,42.5
1114,25.149
1115,25.149,1.799
1116,25.149
1117,25.149
1118,25.149
1119,25.90347,25.0
1120,25.90347
1121,25.149,4.15
1122,25.90347
1123,25.149
1124,25.149,63.5
1125,25.149,25.0
1126,25.149,0.25
1127,25.149,1.7
1128,25.149,21.0
1129,25.149,0.32
1130,25.149,6.8
1131,25.149,7.0
1132,25.149,0.45
1133,25.149,40.5
1134,25.149,33.0
1135,25.90347
1136,25.149,25.0
1137,25.149,40.0
1138,25.149,1.9
1139,25.149,1.0
1140,22.6341,48.0
1141,25.90347,44.0
1142,25.90347,45.0
1143,25.149,0.9876
1144,25.149,0.9999
1145,25.149,0.28
1146,20.1192,3.77
1147,25.149
1148,25.149,4.01
1149,25.149
1150,25.149,0.5
1151,25.149,0.65
1152,25.149,48.8
1153,25.149,8.5
1154,25.90347,21.9999
1155,22.6341
1156,25.149,16.789
1157,25.149,0.54
1158,25.149,43.6942
1159,25.149,50.0
1160,25.149,0.265
1161,25.149,29.8
1162,25.149
1163,25.149,49.69
1164,25.149
1165,25.149,8.25
1166,25.149,41.0
1167,22.6341,0.6
1168,25.149,0.075
1169,25.149,0.35
1170,25.149,0.07
1171,20.1192
1172,25.149,3.0
1173,25.149,12.5
1174,25.149,9.0
1175,25.149
1176,25.149,16.0
1177,25.149,3.84
1178,25.149
1179,25.149,26.0
1180,25.90347
1181,48.69,40.069
1182,25.149,4.0
1183,22.6341,21.0
1184,25.149,2.99
1185,25.90347,98.0
1186,25.15,59.0
1187,25.149,5.5
1188,25.149,4.5
1189,25.149
1190,25.149,8.99
1191,25.149,22.0
1192,22.6341
1193,25.149,0.399
1194,25.149,45.0
1195,25.149
1196,25.149
1197,25.149,31.0
1198,25.90347,26.93491877381632
1199,25.90347
1200,25.149,40.0
1201,25.149,40.0
1202,25.90347
1203,25.149,3.5
1204,25.149,3.0
1205,25.149,13.0
1206,25.149,0.25
1207,22.6341,50.0
1208,25.149,9.0
1209,25.149,2.1
1210,25.149,0.69
1211,25.149,0.9
1212,25.149,1.75
1213,25.149,1.39
1214,25.149,1.2
1215,25.149,45.0
1216,25.149,15.0
1217,25.90347
1218,25.149,39.0
1219,25.149,2.65
1220,25.149,0.4
1221,25.149
1222,25.149,32.705999999999996
1223,25.149,0.69
1224,22.6341,45.0
1225,25.149,1.5
1226,25.149,0.5
1227,25.149,19.49
1228,25.149,38.5
1229,25.149
1230,25.149,0.88
1231,25.149,32.5
1232,25.149,0.55
1233,25.149,1.99
1234,25.149,0.561
1235,25.149,14.5
1236,25.149,62.0
1237,25.149,30.5
1238,25.149,42.0
1239,25.149,0.4
1240,25.149,2.4
1241,25.149,0.62
1242,25.90347,3.0
1243,25.90347,1.77
1244,25.149,0.3
1245,25.149,3.0
1246,25.149,1.9
1247,25.149,0.38
1248,25.149,46.0
1249,25.149,35.0
1250,25.90347,1.3
1251,25.149,48.0
1252,25.90347,1.955
1253,25.149,40.0
1254,25.149,14.8
1255,25.149,0.45
1256,25.149,43.0
1257,25.149,44.0
1258,25.149
1259,25.149
1260,20.1192,14.99
1261,25.149,0.775
1262,25.149
1263,25.149
1264,25.149,16.089438192588037
1265,20.1192,39.75
1266,25.149,36.9693
1267,22.6341,1.4999
1268,25.149
1269,25.149,13.13
1270,25.149,29.99
1271,25.149
1272,25.149
1273,25.149
1274,34.8,42.24
1275,25.149,1.5
1276,25.149
1277,25.149,3.2
1278,25.149,0.53
1279,25.149,36.9999
1280,25.149,2.0
1281,25.149
1282,25.149
1283,22.6341,44.44
1284,25.149,34.25
1285,25.149,34.0
1286,25.149,42.0
1287,25.149,4.499
1288,25.149
1289,25.149,18.05
1290,25.149,13.75
1291,25.149,0.3
1292,25.149,1.5
1293,25.149,19.99
1294,25.149,1.5
1295,25.149,13.99
1296,22.6341,1.5
1297,25.149,1.5
1298,25.149
1299,25.149,1.5
1300,25.90347,1.0
1301,25.90347,3.0
1302,25.149,2.0
1303,25.149,43.9
1304,25.149,36.69
1305,25.90347,5.0
1306,25.149,1.5
